algo,variant,mean,std,count,metric,mean_std,scenario
happo,TIMESFM,15.392823684550061,0.02543529275002326,5,Occupancy Percentage,15.393 ± 0.025,timesfm
happo,TIMESFM,0.8708054985046699,1.2519590493685073e-05,5,efficiency,0.871 ± 0.0,timesfm
happo,TIMESFM,-0.07520188369133937,0.00014696287206156597,5,occupancy,-0.075 ± 0.0,timesfm
happo,TIMESFM,0.1802108664713591,0.0005461793120736753,5,sync,0.18 ± 0.001,timesfm
happo,TIMESFM,0.9910796625701515,2.7482024837179523e-06,5,uptime,0.991 ± 0.0,timesfm
hatrpo,TIMESFM,3.9695561318061507,0.3743347546779173,5,Occupancy Percentage,3.97 ± 0.374,timesfm
hatrpo,TIMESFM,0.18385148670173793,0.01339084096220965,5,efficiency,0.184 ± 0.013,timesfm
hatrpo,TIMESFM,-0.01916671559714262,0.001525885023200959,5,occupancy,-0.019 ± 0.002,timesfm
hatrpo,TIMESFM,0.034978669325129275,0.0030047237595096452,5,sync,0.035 ± 0.003,timesfm
hatrpo,TIMESFM,0.25198057057983353,0.017916168492539537,5,uptime,0.252 ± 0.018,timesfm
ia2c,TIMESFM,7.685158533576685,0.022120797293792443,5,Occupancy Percentage,7.685 ± 0.022,timesfm
ia2c,TIMESFM,0.21977719754764324,0.0007059784005877805,5,efficiency,0.22 ± 0.001,timesfm
ia2c,TIMESFM,-0.048743454748306304,0.0001199059069127652,5,occupancy,-0.049 ± 0.0,timesfm
ia2c,TIMESFM,0.09274352762403516,0.0002068512767939154,5,sync,0.093 ± 0.0,timesfm
ia2c,TIMESFM,0.6143615779277007,0.0015415110465912703,5,uptime,0.614 ± 0.002,timesfm
ippo,TIMESFM,2.1713277676549794,0.0,5,Occupancy Percentage,2.171 ± 0.0,timesfm
ippo,TIMESFM,0.10045262476870956,0.0,5,efficiency,0.1 ± 0.0,timesfm
ippo,TIMESFM,-0.018139949786890635,1.734723475976807e-18,5,occupancy,-0.018 ± 0.0,timesfm
ippo,TIMESFM,0.022339512052691808,0.0,5,sync,0.022 ± 0.0,timesfm
ippo,TIMESFM,0.20252400159456352,1.962615573354719e-17,5,uptime,0.203 ± 0.0,timesfm
itrpo,TIMESFM,5.657116261538958,1.8501295489519307,5,Occupancy Percentage,5.657 ± 1.85,timesfm
itrpo,TIMESFM,0.25053233541637226,0.06600703601437817,5,efficiency,0.251 ± 0.066,timesfm
itrpo,TIMESFM,-0.028448646528021877,0.006363550731288008,5,occupancy,-0.028 ± 0.006,timesfm
itrpo,TIMESFM,0.04953197580431064,0.011085782430975574,5,sync,0.05 ± 0.011,timesfm
itrpo,TIMESFM,0.3725087640863417,0.09783424546917659,5,uptime,0.373 ± 0.098,timesfm
maa2c,TIMESFM,7.1226241530919365,0.009318720837736423,5,Occupancy Percentage,7.123 ± 0.009,timesfm
maa2c,TIMESFM,0.21089384011077522,0.00016232346372800372,5,efficiency,0.211 ± 0.0,timesfm
maa2c,TIMESFM,-0.04454957390756983,2.767636124069306e-05,5,occupancy,-0.045 ± 0.0,timesfm
maa2c,TIMESFM,0.08439290741816921,0.00018618731336531892,5,sync,0.084 ± 0.0,timesfm
maa2c,TIMESFM,0.5605396718927238,0.00024043688764382432,5,uptime,0.561 ± 0.0,timesfm
mappo,TIMESFM,2.2885439789632542,0.0,5,Occupancy Percentage,2.289 ± 0.0,timesfm
mappo,TIMESFM,0.09647036111753486,1.2018516789897274e-17,5,efficiency,0.096 ± 0.0,timesfm
mappo,TIMESFM,-0.01914003816215655,0.0,5,occupancy,-0.019 ± 0.0,timesfm
mappo,TIMESFM,0.031033436250470087,2.4532694666933987e-18,5,sync,0.031 ± 0.0,timesfm
mappo,TIMESFM,0.21714763490300362,0.0,5,uptime,0.217 ± 0.0,timesfm
matrpo,TIMESFM,4.246332446934048,6.280369834735101e-16,5,Occupancy Percentage,4.246 ± 0.0,timesfm
matrpo,TIMESFM,0.18106199762502384,0.0,5,efficiency,0.181 ± 0.0,timesfm
matrpo,TIMESFM,-0.020547632573435757,0.0,5,occupancy,-0.021 ± 0.0,timesfm
matrpo,TIMESFM,0.03809524610651481,4.9065389333867974e-18,5,sync,0.038 ± 0.0,timesfm
matrpo,TIMESFM,0.2718463979409626,3.925231146709438e-17,5,uptime,0.272 ± 0.0,timesfm
happo,,15.326815739377455,0.0064299506456925596,5,Occupancy Percentage,15.327 ± 0.006,tfm_Prev3
happo,,0.8718146587375799,3.943106146397151e-05,5,efficiency,0.872 ± 0.0,tfm_Prev3
happo,,-0.28579736300208924,1.8009580247576566e-05,5,occupancy,-0.286 ± 0.0,tfm_Prev3
happo,,0.18100707777363775,0.0002178991168253784,5,sync,0.181 ± 0.0,tfm_Prev3
happo,,0.9910691544779884,9.327659924561736e-07,5,uptime,0.991 ± 0.0,tfm_Prev3
hatrpo,,3.773822706487664,0.30941348250071216,5,Occupancy Percentage,3.774 ± 0.309,tfm_Prev3
hatrpo,,0.1793395165540137,0.01306451410881248,5,efficiency,0.179 ± 0.013,tfm_Prev3
hatrpo,,-0.07986890056682842,0.006059591662053767,5,occupancy,-0.08 ± 0.006,tfm_Prev3
hatrpo,,0.0416727635898141,0.0033594051655869697,5,sync,0.042 ± 0.003,tfm_Prev3
hatrpo,,0.2724016907572203,0.020994485739026434,5,uptime,0.272 ± 0.021,tfm_Prev3
ia2c,,3.8764636392351606,0.014495043828822905,5,Occupancy Percentage,3.876 ± 0.014,tfm_Prev3
ia2c,,0.13233192172142588,0.00045314083538116213,5,efficiency,0.132 ± 0.0,tfm_Prev3
ia2c,,-0.11803728516092331,0.0003100482590093524,5,occupancy,-0.118 ± 0.0,tfm_Prev3
