algo,variant,mean,std,count,mean_std,scenario
happo,BASELINE,1389.2130948692502,0.4360487066819549,5,1389.213 ± 0.436,baseline
hatrpo,BASELINE,2457.3250969597143,29.808688251732192,5,2457.325 ± 29.809,baseline
ia2c,BASELINE,3495.526079136476,4.637850141285859,5,3495.526 ± 4.638,baseline
ippo,BASELINE,4032.626705436737,0.0,5,4032.627 ± 0.0,baseline
itrpo,BASELINE,3333.834292927642,0.0,5,3333.834 ± 0.0,baseline
maa2c,BASELINE,3472.0633680623696,8.30561325982712,5,3472.063 ± 8.306,baseline
mappo,BASELINE,3990.9946689700582,0.0,5,3990.995 ± 0.0,baseline
matrpo,BASELINE,3457.2743829757687,0.0,5,3457.274 ± 0.0,baseline
happo,TIMESFM,-175.76338088627762,0.1627735084388323,5,-175.763 ± 0.163,timesfm
hatrpo,TIMESFM,-35.304845134505726,4.85850987754391,5,-35.305 ± 4.859,timesfm
ia2c,TIMESFM,-32.22197970772068,0.19474554642865385,5,-32.222 ± 0.195,timesfm
ippo,TIMESFM,-37.17884409972864,0.0,5,-37.179 ± 0.0,timesfm
itrpo,TIMESFM,-33.237657393974104,3.556432420356535,5,-33.238 ± 3.556,timesfm
maa2c,TIMESFM,-34.59160847526604,0.05852981922025992,5,-34.592 ± 0.059,timesfm
mappo,TIMESFM,-30.776112277292377,0.0,5,-30.776 ± 0.0,timesfm
matrpo,TIMESFM,-28.1593231473976,0.0,5,-28.159 ± 0.0,timesfm
happo,TIMESFM,-658.7810998836114,0.05067838521851617,5,-658.781 ± 0.051,timesfm_Prev3
hatrpo,TIMESFM,-107.6724250461609,1.7078543396657861,5,-107.672 ± 1.708,timesfm_Prev3
ia2c,TIMESFM,-102.74311648116345,4.090521672457683,5,-102.743 ± 4.091,timesfm_Prev3
ippo,TIMESFM,-111.18696603294134,0.0,5,-111.187 ± 0.0,timesfm_Prev3
itrpo,TIMESFM,-107.35428513938712,0.0,5,-107.354 ± 0.0,timesfm_Prev3
maa2c,TIMESFM,-102.6480921206585,2.0847026046436987,5,-102.648 ± 2.085,timesfm_Prev3
mappo,TIMESFM,-112.24665590166232,0.0,5,-112.247 ± 0.0,timesfm_Prev3
