trip_id,pt_sequence,stop_id,service_day,hour,hour_start,y_true,y_pred_naive_boardings_per_min,y_pred_naive_boardings_per_min_std,y_pred_timesfm_boardings_per_min,y_pred_timesfm_boardings_per_min_p10,y_pred_timesfm_boardings_per_min_p90
20056_1346_1,1,44042532,2024-05-01,0,00:00,0.15,0.085906446,0.07396546,0.017230498,0.0,0.37702274
20056_1346_1,1,44042532,2024-05-01,1,01:00,,0.0,0.0,0.0,0.0,0.28543937
20056_1346_1,1,44042532,2024-05-01,2,02:00,,0.0,0.0,0.0,0.0,0.28871018
20056_1346_1,1,44042532,2024-05-01,3,03:00,,0.0043605487,0.007888596,0.010688858,0.0,0.48496056
20056_1346_1,1,44042532,2024-05-01,4,04:00,0.0,0.31715566,0.18032314,0.30506438,0.0,0.99194056
20056_1346_1,1,44042532,2024-05-01,5,05:00,1.1,5.2039514,1.1049159,4.7468643,3.896446,5.656157
20056_1346_1,1,44042532,2024-05-01,6,06:00,2.9166667,6.068482,1.4101272,5.741199,4.805739,6.774784
20056_1346_1,1,44042532,2024-05-01,7,07:00,1.3833333,3.904888,0.7525146,3.0852778,2.1866145,4.095967
20056_1346_1,1,44042532,2024-05-01,8,08:00,0.9,2.6116023,0.60900813,2.1743488,1.4253268,3.031309
20056_1346_1,1,44042532,2024-05-01,9,09:00,1.6833333,1.7002146,0.34044883,1.7479132,1.149963,2.4926426
20056_1346_1,1,44042532,2024-05-01,10,10:00,1.0166667,1.5953982,0.33500546,1.3615454,0.79078394,2.0651846
20056_1346_1,1,44042532,2024-05-01,11,11:00,1.3166667,1.7418439,0.400565,1.328837,0.7629819,2.0570076
20056_1346_1,1,44042532,2024-05-01,12,12:00,1.2166667,2.5069585,0.5270159,2.0116248,1.408155,2.7312095
20056_1346_1,1,44042532,2024-05-01,13,13:00,1.1166667,2.20059,0.6309478,2.2209582,1.5839622,2.960168
