trip_id,pt_sequence,stop_id,service_day,hour,hour_start,y_true,y_pred_naive_boardings_per_min,y_pred_naive_boardings_per_min_std,y_pred_timesfm_boardings_per_min,y_pred_timesfm_boardings_per_min_p10,y_pred_timesfm_boardings_per_min_p90
20002_1320_1,1,45833306,2024-05-01,0,00:00,,0.0,0.0,0.0,0.0,0.05887835
20002_1320_1,1,45833306,2024-05-01,1,01:00,,0.0,0.0,0.0,0.0,0.052021466
20002_1320_1,1,45833306,2024-05-01,2,02:00,,0.0,0.0,0.0,0.0,0.06436385
20002_1320_1,1,45833306,2024-05-01,3,03:00,,0.0,0.0,0.016365668,0.0,0.18024512
20002_1320_1,1,45833306,2024-05-01,4,04:00,0.016666668,0.34032017,0.09055039,0.29166946,0.08219173,0.533546
20002_1320_1,1,45833306,2024-05-01,5,05:00,0.45,2.386495,0.53871274,2.2763937,1.9692053,2.594553
20002_1320_1,1,45833306,2024-05-01,6,06:00,0.36666667,2.909325,0.6756444,2.8084881,2.45193,3.154075
20002_1320_1,1,45833306,2024-05-01,7,07:00,0.18333334,1.8503062,0.5543891,2.2654228,1.9198359,2.5890677
20002_1320_1,1,45833306,2024-05-01,8,08:00,0.15,0.73149914,0.2162495,0.866619,0.61908567,1.1491225
20002_1320_1,1,45833306,2024-05-01,9,09:00,0.06666667,0.43684137,0.14367007,0.54880255,0.37189505,0.77199405
20002_1320_1,1,45833306,2024-05-01,10,10:00,0.16666667,0.27740407,0.1045412,0.33126795,0.18264502,0.51451814
20002_1320_1,1,45833306,2024-05-01,11,11:00,0.033333335,0.2880496,0.09362135,0.3105259,0.16773133,0.4618915
20002_1320_1,1,45833306,2024-05-01,12,12:00,0.11666667,0.3954619,0.13478002,0.35698125,0.23681441,0.50731844
20002_1320_1,1,45833306,2024-05-01,13,13:00,0.13333334,0.3153197,0.10059004,0.3798661,0.25828502,0.52433205
20002_1320_1,1,45833306,2024-05-01,14,14:00,0.05,0.20133325,0.11571515,0.23715726,0.113047704,0.3652095
20002_1320_1,1,45833306,2024-05-01,15,15:00,0.0,0.122021094,0.06869466,0.19601597,0.09659121,0.29852635
20002_1320_1,1,45833306,2024-05-01,16,16:00,0.05,0.24548231,0.08337843,0.20218717,0.10687651,0.30092624
20002_1320_1,1,45833306,2024-05-01,17,17:00,0.21666667,0.19404806,0.067037776,0.2234435,0.11647614,0.31018302
20002_1320_1,1,45833306,2024-05-01,18,18:00,0.0,0.13573627,0.04698151,0.12950422,0.03419356,0.23784295
20002_1320_1,1,45833306,2024-05-01,19,19:00,0.083333336,0.055018954,0.05130183,0.043793205,0.0,0.11990458
20002_1320_1,1,45833306,2024-05-01,20,20:00,0.016666668,0.044001978,0.036726736,0.062992476,0.0,0.14458935
20002_1320_1,1,45833306,2024-05-01,21,21:00,0.033333335,0.051641073,0.03531071,0.100019634,0.041736145,0.15007487
20002_1320_1,1,45833306,2024-05-01,22,22:00,0.06666667,0.0017758161,0.0054658763,0.0,0.0,0.032822184
20002_1320_1,1,45833306,2024-05-01,23,23:00,,0.0,0.0,0.0026519122,0.0,0.046535954
20002_1320_1,1,45833306,2024-05-02,0,00:00,,0.0,0.0,0.013123017,0.0,0.16547532
20002_1320_1,1,45833306,2024-05-02,1,01:00,,0.0,0.0,0.036866248,0.0,0.18592088
20002_1320_1,1,45833306,2024-05-02,2,02:00,,0.0,0.0,0.0052086324,0.0,0.20438783
20002_1320_1,1,45833306,2024-05-02,3,03:00,0.0,0.0,0.0,0.017080229,0.0,0.31057274
20002_1320_1,1,45833306,2024-05-02,4,04:00,0.26666668,0.34032017,0.09055039,0.17404926,0.0,0.56680155
20002_1320_1,1,45833306,2024-05-02,5,05:00,2.2333333,2.386495,0.53871274,0.9562563,0.5773542,1.4667354
20002_1320_1,1,45833306,2024-05-02,6,06:00,3.6833334,2.909325,0.6756444,1.1422447,0.7066227,1.7028484
20002_1320_1,1,45833306,2024-05-02,7,07:00,1.85,1.8503062,0.5543891,0.9377893,0.5095871,1.4693736
20002_1320_1,1,45833306,2024-05-02,8,08:00,1.1166667,0.73149914,0.2162495,0.45641214,0.1210392,0.90588427
20002_1320_1,1,45833306,2024-05-02,9,09:00,0.45,0.43684137,0.14367007,0.3377785,0.075119175,0.7056334
20002_1320_1,1,45833306,2024-05-02,10,10:00,0.5,0.27740407,0.1045412,0.27100074,0.05994992,0.60472476
20002_1320_1,1,45833306,2024-05-02,11,11:00,0.23333333,0.2880496,0.09362135,0.25104982,0.043791313,0.55493
20002_1320_1,1,45833306,2024-05-02,12,12:00,0.48333332,0.3954619,0.13478002,0.24132168,0.045769926,0.5318462
20002_1320_1,1,45833306,2024-05-02,13,13:00,0.31666666,0.3153197,0.10059004,0.25583142,0.0622583,0.52821887
20002_1320_1,1,45833306,2024-05-02,14,14:00,0.2,0.20133325,0.11571515,0.17602785,0.011144416,0.4284644
20002_1320_1,1,45833306,2024-05-02,15,15:00,0.23333333,0.122021094,0.06869466,0.1595395,0.0302709,0.38378096
20002_1320_1,1,45833306,2024-05-02,16,16:00,0.33333334,0.24548231,0.08337843,0.13843444,0.0,0.35294777
20002_1320_1,1,45833306,2024-05-02,17,17:00,0.25,0.19404806,0.067037776,0.16547532,0.009165818,0.36910635
20002_1320_1,1,45833306,2024-05-02,18,18:00,0.13333334,0.13573627,0.04698151,0.11601028,0.0,0.3362946
20002_1320_1,1,45833306,2024-05-02,19,19:00,0.016666668,0.055018954,0.05130183,0.074459665,0.0,0.27842045
20002_1320_1,1,45833306,2024-05-02,20,20:00,0.06666667,0.044001978,0.036726736,0.021037428,0.0,0.22945009
