trip_label,pt_sequence,stop_id,method,n_points,mse,rmse,mae,mape_pct,wape_pct
20001_0310_1,1,44782849,naive,329,0.0,0.0,0.0,,
20001_0310_1,1,44782849,timesfm,329,0.0,0.0,0.0,,
20001_0310_1,1,44782849,timesfm-ratio,329,0.0,0.0,0.0,,
20001_0310_1,2,47567835,naive,329,0.00724186956549567,0.08509917488140334,0.05595986445442884,56.61309498798994,54.19038428567251
20001_0310_1,2,47567835,timesfm,329,0.007029746771399901,0.0838435851535459,0.05423521304837114,50.519512771701514,52.5202672586879
20001_0310_1,2,47567835,timesfm-ratio,329,0.0070795332950578495,0.08413996253301904,0.05434466060715173,50.68241848824191,52.626254028442844
20001_0310_1,3,44783952,naive,326,0.000310812153497854,0.01762986538513139,0.01097470852889212,58.05896302459595,112.95626516092474
20001_0310_1,3,44783952,timesfm,326,0.000340006475708333,0.018439264511046338,0.009947376805136231,72.28261639885336,102.38253973657268
20001_0310_1,3,44783952,timesfm-ratio,326,0.00033061888220323914,0.018182928317607126,0.009948374843241936,67.45351231405272,102.39281195989523
20001_0310_1,4,44784227,naive,325,0.0054621719290104025,0.07390650802879542,0.0615956168449842,173.4662378693687,159.66177196779765
20001_0310_1,4,44784227,timesfm,325,0.0019213792483690013,0.04383354022171836,0.029977646226493213,66.58891635725323,77.70494657097376
20001_0310_1,4,44784227,timesfm-ratio,325,0.002164334595589365,0.04652240960643983,0.03174475708152527,68.71440986706784,82.28546812152501
20001_0310_1,5,44783495,naive,325,0.00045704248682396325,0.02137855202823529,0.012320123527628872,64.91508037287232,88.7656852260943
20001_0310_1,5,44783495,timesfm,325,0.0004720551649693221,0.021726830532070758,0.011401820597574653,60.812027100814056,82.14937260158274
20001_0310_1,5,44783495,timesfm-ratio,325,0.00046503721292655325,0.02156472148965883,0.011671212709043605,60.51781662749362,84.09032516714912
20001_0310_1,6,88229436,naive,326,0.0009248047514769062,0.03041060261614206,0.022427760541690458,54.23332545418553,80.43596982336629
20001_0310_1,6,88229436,timesfm,326,0.0009085103254575389,0.030141505029734977,0.02110105771317855,48.25321150529112,75.67782072148032
20001_0310_1,6,88229436,timesfm-ratio,326,0.0009191166912110236,0.03031693736529176,0.021509578835142883,47.55305173876134,77.14295998839233
20001_0310_1,7,44783484,naive,325,0.00020052500129418197,0.014160685057375649,0.01003717641847638,52.82450513541059,126.60245517919255
20001_0310_1,7,44783484,timesfm,325,0.000210517557662897,0.014509223192952026,0.008667137080662472,76.13630362312598,109.32166458353963
20001_0310_1,7,44783484,timesfm-ratio,325,0.00020946840086478744,0.014473023210953109,0.008806812542000912,75.04882235811404,111.08344056479883
20001_0310_1,8,69442472,naive,326,0.00010238635300729316,0.010118614184130808,0.005977645896352325,71.50622307337225,153.67863950735492
20001_0310_1,8,69442472,timesfm,326,0.00010692593597624164,0.010340499793348562,0.0044960091602610905,88.56525504711679,115.58740396167578
20001_0310_1,8,69442472,timesfm-ratio,326,0.00010648995116596178,0.010319396841189982,0.004522426849453506,88.30473139681247,116.26657342142848
20001_0310_1,9,44784228,naive,326,0.0005843395984667137,0.024173117268294415,0.018472859113151493,51.83118962608736,68.9464395052778
20001_0310_1,9,44784228,timesfm,326,0.0005371175850303909,0.023175797397940612,0.016754815766682127,53.02370375939059,62.534168890900396
20001_0310_1,9,44784228,timesfm-ratio,326,0.0005366455777334091,0.023165611965441556,0.01658114947399059,51.23834033000533,61.8859924245602
20001_0310_1,10,45833917,naive,326,0.00046462235137226916,0.021555100356348823,0.014715124105897509,54.29511871409128,96.29626754009928
20001_0310_1,10,45833917,timesfm,326,0.0005068686994500507,0.022513744678530283,0.013923894197667023,64.84983683644487,91.11843238353713
20001_0310_1,10,45833917,timesfm-ratio,326,0.0004864809373333276,0.022056312868050446,0.013885919913653623,62.33731241068171,90.86992739053252
20001_0310_1,11,44783486,naive,326,0.0008369624118577414,0.02893030265755513,0.019290834321051928,55.49454794524574,90.13821760779337
20001_0310_1,11,44783486,timesfm,326,0.0007889745318238881,0.028088690461178286,0.018200572853416214,59.9626162758098,85.04386949492329
20001_0310_1,11,44783486,timesfm-ratio,326,0.0007856595637138982,0.02802961940008994,0.018369351650656774,59.417202295907416,85.83250412316478
20001_0310_1,12,44783013,naive,326,0.000628829174271449,0.025076466542785666,0.017794206221387977,45.91494219275713,100.00120800710283
20001_0310_1,12,44783013,timesfm,326,0.0005944158622241232,0.0243806452380597,0.01633297406480522,52.72290592045684,91.78926648978674
20001_0310_1,12,44783013,timesfm-ratio,326,0.0005872424388951199,0.024233085624722244,0.016119494629182343,51.82020807225932,90.58953882667231
20001_0310_1,13,45833919,naive,326,0.0029261338110288257,0.05409375020303941,0.037741708314971874,48.69117991001478,45.20378715140946
20001_0310_1,13,45833919,timesfm,326,0.0030863389524332222,0.05555482834491726,0.03810365558344802,50.328624683036594,45.637296603278635
20001_0310_1,13,45833919,timesfm-ratio,326,0.002843647364845486,0.0533258601885191,0.03712300551693492,49.09548785769891,44.46275790707741
20001_0310_1,14,44164980,naive,327,0.004452681838614785,0.06672841852325578,0.047049679277914744,62.273818710355435,45.23714990749019
20001_0310_1,14,44164980,timesfm,327,0.004379026881081042,0.06617421613499506,0.04349471999486105,51.98300796777917,41.81914093334589
20001_0310_1,14,44164980,timesfm-ratio,327,0.003992019766209307,0.06318243241763732,0.041578591877950655,49.21505232913104,39.976829227996596
20001_0310_1,15,44782829,naive,327,0.0048519449332227954,0.06965590379302242,0.05170971874164742,54.68924134446321,39.71844020842748
20001_0310_1,15,44782829,timesfm,327,0.00475403886661289,0.06894953855257402,0.04961655069774854,47.17702396859223,38.11066952583761
20001_0310_1,15,44782829,timesfm-ratio,327,0.004715936034511797,0.06867267312775728,0.04965035958944726,48.14055390638689,38.13663826974353
20001_0310_1,16,44783639,naive,327,0.005903316533206384,0.076833043237961,0.04467533617380107,56.75533947614062,45.78485366915086
20001_0310_1,16,44783639,timesfm,327,0.0061444139199492865,0.07838631207008841,0.04565802676494971,54.99566304874496,46.79194950258248
20001_0310_1,16,44783639,timesfm-ratio,327,0.006115521007615628,0.0782017967032448,0.04495416611743796,52.9114288227892,46.07060838889887
20001_0310_1,17,43787620,naive,327,0.009687111303372032,0.09842312382449579,0.07127650421602645,45.06922282800996,35.587241774097855
20001_0310_1,17,43787620,timesfm,327,0.00949917699385261,0.09746372142419255,0.06947803442631292,41.49531257071392,34.68929398704076
20001_0310_1,17,43787620,timesfm-ratio,327,0.009306795629843044,0.09647173487526305,0.06802889696064676,40.48789136532576,33.965762355940235
20001_0310_2,1,43787620,naive,528,0.0,0.0,0.0,,
20001_0310_2,1,43787620,timesfm,528,0.0,0.0,0.0,,
20001_0310_2,1,43787620,timesfm-ratio,528,0.0,0.0,0.0,,
20001_0310_2,2,44164986,naive,526,0.001959609391313159,0.044267475547100706,0.015036269524417988,69.81683242098728,156.26560949400152
20001_0310_2,2,44164986,timesfm,526,0.00201744652233156,0.044915994059260896,0.010159862406566002,99.1928944995199,105.587166335307
20001_0310_2,2,44164986,timesfm-ratio,526,0.00202624330489595,0.04501381237904595,0.011113422852866586,98.32629968699283,115.49711800839665
20001_0310_2,3,120548519,naive,523,0.0024694931075192436,0.04969399468264997,0.02184426619664162,83.01453020110502,183.4479747868095
20001_0310_2,3,120548519,timesfm,523,0.0023783082689795656,0.04876790203586336,0.012013274305606378,99.77107748981157,100.8873826240372
20001_0310_2,3,120548519,timesfm-ratio,523,0.002374965935153873,0.048733622224844654,0.012132708767100236,99.62770596386694,101.89039228723982
20001_0310_2,4,44782596,naive,521,0.009910289545783126,0.09955043719533896,0.0725057294052416,60.11980449140215,67.34290823316968
20001_0310_2,4,44782596,timesfm,521,0.010975822554215364,0.10476555996230519,0.07352629219581357,53.58419346332214,68.29080113646772
20001_0310_2,4,44782596,timesfm-ratio,521,0.011255830200181057,0.10609349744532441,0.07414147957895584,51.733262098032625,68.86218367173753
20001_0310_2,5,45833890,naive,521,0.005423249494784606,0.07364271515081859,0.056011906687363326,49.91673639032959,70.71778478217684
20001_0310_2,5,45833890,timesfm,521,0.0058539628241481186,0.07651119411006548,0.05681599986506179,48.069528354563396,71.73299193451837
20001_0310_2,5,45833890,timesfm-ratio,521,0.005935184027291635,0.07704014555601277,0.05795223496962951,48.925294702825376,73.16754459196078
20001_0310_2,6,45833892,naive,520,0.0019613762782091145,0.04428742799270595,0.032561335435065515,57.17781360046716,135.6876678679263
20001_0310_2,6,45833892,timesfm,520,0.0020317678615496674,0.04507513573523287,0.02561174313663147,77.83355509522134,106.7277385834559
20001_0310_2,6,45833892,timesfm-ratio,520,0.0020107013717142633,0.044840844904107946,0.02552637625447212,74.61123382696819,106.37200276984171
20001_0310_2,7,129107065,naive,521,0.0011138311744219415,0.03337410934275163,0.017840638749601744,63.90789861988602,97.5251428152228
20001_0310_2,7,129107065,timesfm,521,0.00134486355293023,0.03667238133705296,0.016743540528650225,74.19762860097964,91.52789898430827
20001_0310_2,7,129107065,timesfm-ratio,521,0.0013602007694829999,0.036880899792209515,0.016678738766991795,73.52534840229995,91.17366272914293
20001_0310_2,8,45833893,naive,520,0.004567310170796129,0.06758187753233946,0.049149647535971154,52.954319497172364,68.9148933370092
20001_0310_2,8,45833893,timesfm,520,0.004348988373903516,0.06594686022778883,0.04766469692381529,50.398322158218235,66.8327784454924
