Algorithm,Label,Config,Run name,Seed,progress.csv,reward_column,x_column,final_mean_run,auc_run
MAPPO,UNKNOWN,"(0.4, 0.3, 0.15, 0.15)","MAPPO-minimax - (0.4,0.3,0.15,0.15) - 4",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-minimax - (0.4,0.3,0.15,0.15) - 4/progress.csv",episode_reward_mean,timesteps_total,-0.012860691769492205,0.9632942276501539
MAPPO,UNKNOWN,"(0.4, 0.3, 0.15, 0.15)","MAPPO-minimax - (0.4,0.3,0.15,0.15) - 3",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-minimax - (0.4,0.3,0.15,0.15) - 3/progress.csv",episode_reward_mean,timesteps_total,-0.012860691769492205,0.9632942276501539
MAPPO,UNKNOWN,"(1.0, 1.0, 0.0, 0.0)","MAPPO-occ-up (1,1,0,0) - 5",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-occ-up (1,1,0,0) - 5/progress.csv",episode_reward_mean,timesteps_total,473.3373882054364,0.8971235172092228
MAPPO,UNKNOWN,"(0.0, 1.0, 1.0, 0.0)","MAPPO-up-sync (0,1,1,0) - 3",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-up-sync (0,1,1,0) - 3/progress.csv",episode_reward_mean,timesteps_total,694.7450076905454,0.8972730504690084
MAPPO,UNKNOWN,"(0.5, 0.7, 0.5, 0.6)","MAPPO-Normal (0.5,0.7,0.5,0.6) - 4",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-Normal (0.5,0.7,0.5,0.6) - 4/progress.csv",episode_reward_mean,timesteps_total,759.8786746336605,0.9066600684411821
MAPPO,UNKNOWN,"(0.0, 0.0, 0.0, 1.0)","MAPPO-energy  (0,0,0,1) - 2",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-energy  (0,0,0,1) - 2/progress.csv",episode_reward_mean,timesteps_total,2043.4104507622949,0.9247550418132319
MAPPO,UNKNOWN,"(1.0, 0.0, 1.0, 0.0)","MAPPO-occ-sync (1,0,1,0) - 5",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-occ-sync (1,0,1,0) - 5/progress.csv",episode_reward_mean,timesteps_total,-8e-05,0.9772951311222388
MAPPO,UNKNOWN,"(0.0, 0.0, 1.0, 0.0)","MAPPO-sync - (0,0,1,0) - 3",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-sync - (0,0,1,0) - 3/progress.csv",episode_reward_mean,timesteps_total,-0.00726,0.9713918731838993
MAPPO,UNKNOWN,"(0.5, 0.7, 0.5, 0.6)","MAPPO-Normal (0.5,0.7,0.5,0.6) - 5",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-Normal (0.5,0.7,0.5,0.6) - 5/progress.csv",episode_reward_mean,timesteps_total,759.8786746336605,0.9066600684411821
MAPPO,UNKNOWN,"(0.0, 1.0, 0.0, 1.0)","MAPPO-up-energy (0,1,0,1) - 4",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-up-energy (0,1,0,1) - 4/progress.csv",episode_reward_mean,timesteps_total,1553.5009147931696,0.9116355745274174
MAPPO,UNKNOWN,"(1.0, 0.0, 0.0, 0.0)","MAPPO-occ (1,0,0,0) - 1",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-occ (1,0,0,0) - 1/progress.csv",episode_reward_mean,timesteps_total,-0.00026000000000000003,0.974770692575447
MAPPO,UNKNOWN,"(1.0, 0.0, 1.0, 0.0)","MAPPO-occ-sync (1,0,1,0) - 2",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-occ-sync (1,0,1,0) - 2/progress.csv",episode_reward_mean,timesteps_total,-8e-05,0.9772951311222388
MAPPO,UNKNOWN,"(0.0, 1.0, 0.0, 0.0)","MAPPO-up - (0,1,0,0) - 4",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-up - (0,1,0,0) - 4/progress.csv",episode_reward_mean,timesteps_total,1453.9846328312522,0.905974200506582
MAPPO,UNKNOWN,"(0.0, 0.0, 1.0, 0.0)","MAPPO-sync - (0,0,1,0) - 5",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-sync - (0,0,1,0) - 5/progress.csv",episode_reward_mean,timesteps_total,-0.00726,0.9713918731838993
MAPPO,UNKNOWN,"(0.0, 1.0, 0.0, 0.0)","MAPPO-up - (0,1,0,0) - 2",,"/mnt/ssd1/wesley/BusEnv/exp_results/mappo_mlp_sunt_bus/MAPPO-up - (0,1,0,0) - 2/progress.csv",episode_reward_mean,timesteps_total,1453.9846328312522,0.905974200506582
