episode,occupancy,uptime,sync,efficiency
1,0.7784748554082558,0.9906281869216841,0.01202039515997973,0.8491744972832242
1,0.7816117333767391,0.9898738118628373,0.022687139314271264,0.8774407617843357
1,0.7775360993001442,0.9901316691249983,0.048648695434638234,0.8852551453785603
1,0.7767570539283705,0.9906574933889338,0.02287653064682347,0.8803964536371712
1,0.7823750521539895,0.9907094664037643,0.02321520113297431,0.8839724225948349
1,0.7770910698297901,0.990390489807306,0.03195298118256805,0.871755386196152
1,0.7769165803024142,0.9906069883799139,0.03172217146438128,0.8649830591593721
1,0.7757185316880795,0.990415490599128,0.04439558853984668,0.8733833868127304
1,0.7739834238661201,0.9904069136121019,0.02965850897581767,0.8908932964722291
1,0.7764745697222631,0.9903173526320008,0.02897962709618738,0.8954006656624671
1,0.7824028636536144,0.9894487583082252,0.03266825383664523,0.9007983368753582
1,0.7842057629135619,0.9896919697207164,0.05843301435595373,0.9148393878357053
2,0.6446881865795964,0.9876174923636633,0.03469145971627511,0.8997632115337881
2,0.6393876492820267,0.9865613811277811,0.03284596818587488,0.9122757125741767
2,0.6417569030531549,0.9865763223676709,0.033495396980363856,0.915262757509159
2,0.6434172120547552,0.9854814115854209,0.059893623931403274,0.9211880982026479
2,0.6440975452183246,0.9853868835266197,0.02404118054713471,0.923422709858374
2,0.6390836496133286,0.9860938936437927,0.040121773513378964,0.9264031362945548
2,0.6445719100785847,0.9851668322286201,0.034189146173302064,0.9172943305168308
2,0.6423572369260465,0.9848248515232438,0.07820497627648397,0.9267725283546928
2,0.6397234504453575,0.9834471607616457,0.0728122539296742,0.9364244304731265
2,0.6420301124110115,0.9834583519576843,0.053025886976625025,0.9390111985993027
2,0.6440377801992951,0.9817974352137897,0.06059716410493425,0.9395522852784304
2,0.6431076270004389,0.9801888097195051,0.05366743070438228,0.9510592371324356
3,0.5582817670163118,0.9794551134391261,0.022261112460263764,0.9336456765972662
3,0.5604452656414842,0.97615048988971,0.02360369202476851,0.9400648133675447
3,0.5584844720986886,0.9732068350958916,0.03390559609905052,0.9474742420037641
3,0.5591467760391133,0.9696969541161696,0.03318383002371368,0.9511206675211685
3,0.5615998096897307,0.9685163750249248,0.07353357200451531,0.9484143173861707
3,0.5587069032094345,0.9692976074702624,0.030872876218472695,0.9514924985415079
3,0.5624610858228712,0.9658476278233546,0.0718429228810993,0.9488541735035204
3,0.5610489771265994,0.9676507341720588,0.06351692503030673,0.9518306624089812
3,0.5611896342790198,0.9664729961778693,0.08325102171302987,0.9537868438568349
3,0.561223433708044,0.9590797860816153,0.07440718243211832,0.9560817019682224
4,0.7125072444414453,0.9494852743851763,0.043799189080683296,0.9550971155166639
3,0.5608815592757452,0.9550698401592852,0.07335246834220929,0.9596248461310392
4,0.712581050363386,0.9530236145453225,0.047360324617346426,0.9558707655749942
4,0.7134636515954013,0.9515325275723459,0.04333229255081118,0.9576115027532147
3,0.5605707818607701,0.9556039382103574,0.06881148751777452,0.9633113862243201
4,0.7125008954229777,0.9337230280995833,0.05352512056822355,0.9624360245191715
4,0.7123643356277626,0.9410209880970996,0.07722308953402031,0.9599203622647231
4,0.7116540951684284,0.9475391038678607,0.056085288798345456,0.9583550511738756
4,0.7115970337856237,0.9310312252518557,0.05636529848633022,0.9582813776580498
4,0.7116060486015455,0.9328293885513828,0.06572317424737736,0.9612515712851206
4,0.7111996176897213,0.9397397693242153,0.0630548810018273,0.9611627024994371
4,0.7108794559516295,0.9344679925138888,0.09942986013354552,0.9629704894571933
5,0.7274905270245746,0.8973019201467493,0.06081589121211871,0.9644800194463249
5,0.7275473614013042,0.9231764944581868,0.0690523867333568,0.9627025152913055
4,0.7121031847701059,0.922044463785595,0.09210539367796189,0.9640412715471293
5,0.7262743137253788,0.9243662451995244,0.09028983184483941,0.9652269665906896
1,0.7803513590807224,0.9904518871715468,0.030411774389695424,0.8476026767610021
1,0.7800736873014087,0.9906542230049638,0.02860278897320338,0.8732848383866179
1,0.7816835944375726,0.9843762870724337,0.03155322441935902,0.9002693292528544
1,0.7830595969180465,0.9909424819961898,0.044759427931831186,0.877242730611812
1,0.776920398687201,0.9906866451377503,0.03175325483930188,0.8760309944191105
1,0.7831749880445976,0.9908871444589407,0.025122308820035834,0.8535444487868089
1,0.7764117945463699,0.9899171062677805,0.02646137357176288,0.8962022847367944
1,0.7748172764116559,0.9907855557974982,0.029720578968898105,0.8938506660453547
1,0.7767082319754757,0.9905151329641957,0.03138087476372654,0.8749001866648355
1,0.7836314304810357,0.9900975788032544,0.03021391913931783,0.8866067670342824
1,0.7796907118644792,0.9803868136167653,0.032398532864646015,0.9268466512163993
1,0.7785281603831246,0.9903936373923203,0.01888126328035937,0.8766985886104133
1,0.7740240009506527,0.9901453940745981,0.023288240692725455,0.8899424772613251
1,0.7849970830776879,0.9906615079356463,0.033404856969126505,0.8808251026633697
1,0.7786452095578369,0.9815819963498544,0.02626018265741405,0.9069366010170722
1,0.7841465048182613,0.9810764865192633,0.04920403153508506,0.9324824925863859
1,0.7751698995121116,0.9903576593961263,0.027645284951948422,0.8885553692424677
1,0.7804466633897091,0.9809319416203686,0.04330298616899301,0.9309015881263167
1,0.7776426744323006,0.9773077428677384,0.03230356085641643,0.935997746926815
1,0.7845529014204802,0.9789454472897846,0.04507510749728187,0.9239916072416199
1,0.776593919353403,0.9904388194892011,0.028642232777608627,0.8955710299071311
1,0.7731468547316842,0.99019061502014,0.02823499829932155,0.8880827472787688
1,0.7818344442810099,0.9774431821955931,0.030675173276322288,0.9399820898684004
1,0.783303012093311,0.9777794389618156,0.04103863481468978,0.9261280395019416
1,0.7728050246039689,0.9902872127615459,0.04033189169545111,0.8801585252347268
1,0.7821948534978558,0.9777626513306454,0.03152892273813675,0.9409309404505309
1,0.78130384380226,0.9740420102008507,0.0450724248576662,0.9374976750559391
1,0.7814530177533483,0.976126240096219,0.03603292773008439,0.938942435901032
1,0.776348585664083,0.9902162265567522,0.0227229918191243,0.8958579403582428
1,0.7794023306920236,0.9793693794457254,0.032699802046468954,0.9294940169762086
1,0.781581764560899,0.9787077002478007,0.02791762153509509,0.9258334116350644
1,0.7795385208967522,0.9757855107532508,0.037529944069952546,0.9414922866956976
1,0.7794401430989023,0.9741862098380822,0.05104810173172993,0.9399487490254893
1,0.777876117917148,0.9712366153473317,0.04142956282700944,0.9363137526142674
1,0.7815288603936581,0.9897995260519517,0.0537613835765697,0.9104665489882546
1,0.7814811171466671,0.989919562315345,0.02507159439338304,0.9050711744906101
1,0.7825468345055965,0.964896932805002,0.060991160000531855,0.9466466836411088
1,0.7823037964480855,0.9662368026882573,0.041172959111140356,0.9497450783770937
1,0.7829234699341053,0.9703001172105342,0.06609978812925812,0.9506745151660467
1,0.7803809499231924,0.9802742049385218,0.021955645337906567,0.9151696594411174
1,0.7873185760904229,0.9856805026149628,0.017829084100040145,0.9017900346068528
1,0.7833461552761278,0.9800678585350701,0.03729584437064049,0.9286881893052501
1,0.7819181076267333,0.9785223072212765,0.0349813929572968,0.9325726278580193
1,0.7840636525655726,0.9796345304027605,0.04948516641871138,0.9202354896946978
1,0.7822762479561521,0.9758224965011317,0.04295568671285842,0.9396814292758255
1,0.781835059078014,0.9903343465932828,0.055364043185233025,0.916084150521902
1,0.7844508983331135,0.9801638942788529,0.04878400252712224,0.9217003855407601
1,0.7803982797985285,0.9794969820412309,0.03359901910657956,0.9350262141424783
1,0.7787968300348556,0.9767510451213877,0.05489594116531965,0.9377412313882056
1,0.7816918972404266,0.975261557977011,0.065461158055952,0.9357331569125501
1,0.7794675863065466,0.9772364507583793,0.032812905285277506,0.9383995373375112
1,0.7816653194996729,0.9768870523586373,0.04920382271178256,0.9328165070187758
