trip_id,pt_sequence,stop_id,service_day,hour,hour_start,y_true,y_pred_timesfm_lag_loading_per_veh,y_pred_timesfm_lag_loading_per_veh_p10,y_pred_timesfm_lag_loading_per_veh_p90
20002_1320_10,1,232142333,2024-05-01,0,00:00,,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,1,01:00,,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,2,02:00,,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,3,03:00,,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,4,04:00,,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,5,05:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,6,06:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,7,07:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,8,08:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,9,09:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,10,10:00,,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,11,11:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,12,12:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,13,13:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,14,14:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,15,15:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,16,16:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,17,17:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,18,18:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,19,19:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,20,20:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,21,21:00,0.0,0.0,0.0,0.0
20002_1320_10,1,232142333,2024-05-01,22,22:00,0.0,0.0,0.0,0.0
