trip_id,pt_sequence,stop_id,service_day,hour,hour_start,y_true,y_pred_naive_alighting_rate,y_pred_naive_alighting_rate_std,y_pred_timesfm_alighting_rate,y_pred_timesfm_alighting_rate_p10,y_pred_timesfm_alighting_rate_p90,y_pred_timesfm_ratio_alighting_rate,y_pred_timesfm_ratio_alighting_rate_p10,y_pred_timesfm_ratio_alighting_rate_p90
20056_1346_2,1,45832939,2024-05-01,0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,1,01:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,2,02:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,3,03:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,4,04:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,5,05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,6,06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,7,07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,8,08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,9,09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,10,10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,11,11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,12,12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,13,13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,14,14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,15,15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,16,16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,17,17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,18,18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,19,19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,20,20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,21,21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,22,22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-01,23,23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,1,01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,2,02:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,3,03:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,4,04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,5,05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,6,06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,7,07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,8,08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,9,09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,10,10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,11,11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,12,12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,13,13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,14,14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,15,15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,16,16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,17,17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,18,18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,19,19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,20,20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,21,21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,22,22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-02,23,23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,0,00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,1,01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,2,02:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,3,03:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,4,04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,5,05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,6,06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,7,07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,8,08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,9,09:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,10,10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,11,11:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,12,12:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,13,13:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,14,14:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,15,15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,16,16:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,17,17:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,18,18:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,19,19:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,20,20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,21,21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,22,22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-03,23,23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-04,0,00:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-04,1,01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-04,2,02:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-04,3,03:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-04,4,04:00,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-04,5,05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20056_1346_2,1,45832939,2024-05-04,6,06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
