#{"t_start": 1749318088.2601073, "env_id": "None"}
r,l,t
-100000.0,1,1.642459
-100000.0,1,1.648424
-100000.0,1,1.652174
-100000.0,1,1.657361
-100000.0,1,1.659701
-100000.0,1,1.666746
-100000.0,1,1.669373
-100000.0,1,1.670707
-100000.0,1,1.672732
-100000.0,1,1.679904
-100000.0,1,1.684184
-1064044.890954,2,1.686149
-100000.0,1,1.690462
-100000.0,1,1.696219
-100000.0,1,1.701682
-100000.0,1,1.705691
-100000.0,1,1.711047
-100000.0,1,1.718513
-100000.0,1,1.720405
-100000.0,1,1.722092
-100000.0,1,1.725805
-126653.14706,2,1.730329
-100000.0,1,1.733541
-100000.0,1,1.7373
-100000.0,1,1.740563
-100000.0,1,1.74445
-100000.0,1,1.747298
-100000.0,1,1.753945
-100000.0,1,1.756967
-100000.0,1,1.761986
-100000.0,1,1.765229
-100000.0,1,1.768716
-100000.0,1,1.771757
-100000.0,1,1.775752
-275973.633904,3,1.77924
-100000.0,1,1.785478
-100000.0,1,1.788309
-100000.0,1,1.796505
-100000.0,1,1.799251
-100000.0,1,1.802684
-100000.0,1,1.806729
-100000.0,1,1.813416
-100000.0,1,1.818743
-100000.0,1,1.822968
-100000.0,1,1.826051
-100000.0,1,1.833319
-1968699.751569,3,1.837454
-100000.0,1,1.843188
-100000.0,1,1.847162
-100000.0,1,1.850552
-100000.0,1,1.853214
-100000.0,1,1.857824
-100000.0,1,1.860863
-100000.0,1,1.864882
-100000.0,1,1.868076
-100000.0,1,1.873408
-100000.0,1,1.876806
-100000.0,1,1.881016
-100000.0,1,1.88748
-100000.0,1,1.890528
-100000.0,1,1.893825
-100000.0,1,1.897397
-100000.0,1,1.899516
-100000.0,1,1.902497
-100000.0,1,1.905589
-100000.0,1,1.909899
-100000.0,1,1.915036
-100000.0,1,1.919251
-100000.0,1,1.922081
-100000.0,1,1.926385
-100000.0,1,1.928591
-100000.0,1,1.932514
-100000.0,1,1.935247
-100000.0,1,1.943152
-100000.0,1,1.945538
-100000.0,1,1.949306
-100000.0,1,1.951203
-100000.0,1,1.955509
-100000.0,1,1.958921
-100000.0,1,1.967437
-100000.0,1,1.970551
-100000.0,1,1.974804
-100000.0,1,1.977874
-100000.0,1,1.983048
-100000.0,1,1.986645
-100000.0,1,1.992779
-100000.0,1,1.997353
-100000.0,1,2.000497
-100000.0,1,2.002324
-100000.0,1,2.007052
-100000.0,1,2.008486
-100000.0,1,2.014611
-100000.0,1,2.019243
-100000.0,1,2.024146
-100000.0,1,2.025442
-100000.0,1,2.032247
-110413.0,2,2.03499
-100000.0,1,2.042326
-100000.0,1,2.045815
-100000.0,1,2.049344
-100000.0,1,2.051618
-100000.0,1,2.057079
-100000.0,1,2.061848
-100000.0,1,2.066357
-100000.0,1,2.069511
-100000.0,1,2.073462
-100000.0,1,2.080099
-100000.0,1,2.082475
-100000.0,1,2.084217
-100000.0,1,2.09032
-100000.0,1,2.095715
-100000.0,1,2.099052
-100000.0,1,2.101861
-100000.0,1,2.106001
-428833.330428,2,2.114788
-100000.0,1,2.116831
-100000.0,1,2.124163
-100000.0,1,2.133052
-100000.0,1,2.136017
-100000.0,1,2.141153
-100000.0,1,2.14263
-224903.376179,2,2.149027
-100000.0,1,2.151299
-100000.0,1,2.153993
-100000.0,1,2.15748
-2156419.287142,2,2.163405
-100000.0,1,2.166458
-100000.0,1,2.172931
-100000.0,1,2.175685
-100000.0,1,2.179858
-100000.0,1,2.181675
-100000.0,1,2.18497
-100000.0,1,2.188536
-100000.0,1,2.19379
-100000.0,1,2.196347
-100000.0,1,2.203655
-100000.0,1,2.205768
-100000.0,1,2.212777
-100000.0,1,2.216653
-100000.0,1,2.226866
-100000.0,1,2.229802
-100000.0,1,2.236859
-100000.0,1,2.240053
-100000.0,1,2.246564
-100000.0,1,2.250712
-100000.0,1,2.256572
-100000.0,1,2.262224
-100000.0,1,2.268046
-100000.0,1,2.271485
-100000.0,1,2.27607
-100000.0,1,2.278823
-100000.0,1,2.284588
-11709500.358877,3,2.287146
-100000.0,1,2.292268
-100000.0,1,2.294078
-100000.0,1,2.296127
-100000.0,1,2.300046
-100000.0,1,2.307743
-100000.0,1,2.313042
-100000.0,1,2.316736
-100000.0,1,2.323077
-100000.0,1,2.331173
-100000.0,1,2.333656
-100000.0,1,2.337443
-100000.0,1,2.341383
-269156.399993,2,2.348671
