episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,policy_reward_min/shared_policy,policy_reward_max/shared_policy,policy_reward_mean/shared_policy,hist_stats/episode_reward,hist_stats/episode_lengths,hist_stats/policy_shared_policy_reward,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/shared_policy/learner_stats/allreduce_latency,info/learner/shared_policy/learner_stats/cur_kl_coeff,info/learner/shared_policy/learner_stats/cur_lr,info/learner/shared_policy/learner_stats/total_loss,info/learner/shared_policy/learner_stats/policy_loss,info/learner/shared_policy/learner_stats/vf_loss,info/learner/shared_policy/learner_stats/vf_explained_var,info/learner/shared_policy/learner_stats/kl,info/learner/shared_policy/learner_stats/entropy,info/learner/shared_policy/learner_stats/entropy_coeff
-393528.083255781,-1212542.0050610227,-696103.4687910096,246.25,16,1,4000,0,18721,False,16,1,9f8fb_00000,cad6c349704142fb9570a473ab6cd8fe,2025-09-28_12-50-21,1759063821,14.427302122116089,14.427302122116089,739819,terumo,200.128.51.114,14.427302122116089,0,1,-451273.2966948402,-83.15111924290399,-139220.6937582022,"[-924400.8722225815, -694044.5570104874, -738989.2052225817, -928746.6167001916, -627950.0788898772, -642942.2305578938, -565925.3244028105, -690791.7130186396, -572012.8032847731, -596043.8869174507, -393528.083255781, -1212542.0050610227, -426794.47046253755, -877062.7168554263, -730108.7376115724, -515772.19918252603]","[279, 215, 227, 246, 261, 265, 238, 230, 250, 242, 227, 264, 239, 263, 252, 242]","[-118.04894743671595, -373064.78967066575, -173362.2536065459, -377751.3175638375, -104.46243409721512, -111.44919287427943, -145340.76276780455, -195405.292819715, -250542.1447084424, -102644.90752165273, -102.20446330829077, -137556.3168023319, -261375.6720295914, -339850.51013459126, -104.50179276092238, -83.15111924290399, -225839.38801897696, -294326.73846698465, -237862.6196402813, -170634.7194547075, -95.20940033560535, -341455.1931841471, -131.87981401343288, -286161.6351743762, -106.1613170052378, -97.84229476050324, -357146.9261827322, -116.27115835120605, -285468.15899480187, -113.03192724869189, -107.839473185047, -113575.62791519736, -172399.98837711135, -180469.0740901071, -99372.79454721094, -104.04764258730044, -295635.60712684895, -171847.33153891572, -223103.2112734949, -101.51543679441154, -105.27230610585903, -245030.12036879585, -75908.80829918911, -250857.46491679706, -111.13739388638687, -111.89043962797194, -122484.53407632568, -129568.79949354457, -343768.5084799948, -110.1544279582151, -95.90336329728943, -127691.75900920734, -126.06185319524707, -265506.44872211316, -107.91030796793463, -101.22747809560526, -334787.7489578896, -335178.0334167815, -369292.59333789686, -173182.4018703604, -91.75432230623854, -148037.27695133627, -127.28574831267325, -278434.700288767, -103.45315181637035, -99.83759426118954, -451273.2966948402, -161266.30758894703, -264320.04355881026, -103.23141857015803, -101.16137526737225, -268083.0570365014, -135617.05754617217, -326206.9349012469, -100.52675238641916, -96.57674157562734, -144725.25225968874, -133.7960960719702, -282260.2376313829, -88556.33645380817]",0.1528365586406438,0.7224079967289977,0.054832161500793015,1.0569341717228775,0.0,8318.956,480.83,1.283,3117862.107,6107.539,654.928,1.515,4000,18721,4000,18721,3.0999999999999996,25.923809523809528,0.0,0.20000000000000007,4.999999999999999e-05,3675835383.4666667,-0.003491794523232761,3675835383.4666667,1.6689300537109374e-07,0.00462606577035471,1.0942901452382405,0.0
-178637.189538887,-1212542.0050610227,-517811.9832782742,243.3125,16,1,8000,0,37001,False,32,2,9f8fb_00000,cad6c349704142fb9570a473ab6cd8fe,2025-09-28_12-50-35,1759063835,14.117161750793457,28.544463872909546,739819,terumo,200.128.51.114,28.544463872909546,0,2,-451273.2966948402,-83.15111924290399,-103562.396655655,"[-924400.8722225815, -694044.5570104874, -738989.2052225817, -928746.6167001916, -627950.0788898772, -642942.2305578938, -565925.3244028105, -690791.7130186396, -572012.8032847731, -596043.8869174507, -393528.083255781, -1212542.0050610227, -426794.47046253755, -877062.7168554263, -730108.7376115724, -515772.19918252603, -263612.4444575418, -439210.4677673286, -261669.13953340307, -217398.24496525916, -423832.0682318818, -333118.41539279674, -532153.1870413481, -335125.33154220873, -178637.189538887, -262910.2731113508, -563070.5176523789, -253024.49398263596, -275401.0291630242, -323737.2438386978, -426421.44539212575, -343006.4726377524]","[279, 215, 227, 246, 261, 265, 238, 230, 250, 242, 227, 264, 239, 263, 252, 242, 225, 238, 241, 229, 249, 237, 258, 239, 228, 229, 233, 223, 242, 237, 257, 281]","[-118.04894743671595, -373064.78967066575, -173362.2536065459, -377751.3175638375, -104.46243409721512, -111.44919287427943, -145340.76276780455, -195405.292819715, -250542.1447084424, -102644.90752165273, -102.20446330829077, -137556.3168023319, -261375.6720295914, -339850.51013459126, -104.50179276092238, -83.15111924290399, -225839.38801897696, -294326.73846698465, -237862.6196402813, -170634.7194547075, -95.20940033560535, -341455.1931841471, -131.87981401343288, -286161.6351743762, -106.1613170052378, -97.84229476050324, -357146.9261827322, -116.27115835120605, -285468.15899480187, -113.03192724869189, -107.839473185047, -113575.62791519736, -172399.98837711135, -180469.0740901071, -99372.79454721094, -104.04764258730044, -295635.60712684895, -171847.33153891572, -223103.2112734949, -101.51543679441154, -105.27230610585903, -245030.12036879585, -75908.80829918911, -250857.46491679706, -111.13739388638687, -111.89043962797194, -122484.53407632568, -129568.79949354457, -343768.5084799948, -110.1544279582151, -95.90336329728943, -127691.75900920734, -126.06185319524707, -265506.44872211316, -107.91030796793463, -101.22747809560526, -334787.7489578896, -335178.0334167815, -369292.59333789686, -173182.4018703604, -91.75432230623854, -148037.27695133627, -127.28574831267325, -278434.700288767, -103.45315181637035, -99.83759426118954, -451273.2966948402, -161266.30758894703, -264320.04355881026, -103.23141857015803, -101.16137526737225, -268083.0570365014, -135617.05754617217, -326206.9349012469, -100.52675238641916, -96.57674157562734, -144725.25225968874, -133.7960960719702, -282260.2376313829, -88556.33645380817, -98.13467185068266, -131.35832710481196, -120.41470319690595, -263148.5042042824, -114.03255110685998, -106.98417674787885, -29369.402802869907, -143228.10390549182, -266395.3143697298, -110.66251248935086, -113.08135790957309, -87397.86388510288, -129.6515905065194, -173914.92474693278, -113.6179529510787, -121.50680339338683, -135.102653701129, -130.10878856070372, -216889.28250755917, -122.24421204452055, -114.50003867654311, -235352.71664700692, -120.79880734239117, -188129.8055812302, -114.24715762628364, -121.03038508754985, -147.53207657698732, -98982.93577928544, -233741.42640249644, -125.49074935013054, -126.34134933652315, -249010.30875893717, -79660.94974883573, -203228.96706556025, -126.62011867973266, -125.26544729373367, -133.87420811361577, -115277.998333403, -219458.09207612908, -130.10147726983928, -113.09239939393242, -141.6958984256942, -123.67184471362152, -178126.04817267816, -132.6812236755101, -128.33779311905494, -26317.038799783193, -132.14690886177735, -236200.14742309044, -132.60218649627132, -119.08220535673273, -81175.64239493386, -171090.5385057522, -310554.1009678073, -131.15357852931373, -114.788326129877, -65387.94114564905, -124.84036938690522, -187290.62296504725, -106.30117642285046, -120.29878715086515, -140.3870949981277, -74014.71419990988, -201002.67374736056, -122.95533360509475, -113.33366835255, -74078.39631535036, -127.31055663840856, -249296.43622453726, -121.76707381913732, -105.46186056169644, -133.53464485671432, -150787.30473966667, -275273.6108651919, -121.53328185013693, -124.82313526056913, -205361.2651648717, -123.5830041611876, -137283.1541366374, -113.64719682223802]",0.15086009280129364,0.7188242236765676,0.05432196455566945,1.0641680361073431,0.0,11338.579,352.778,1.051,3806947.13,6002.593,666.379,1.446,8000,37001,8000,37001,3.13,26.115000000000002,0.0,0.10000000000000003,4.999999999999999e-05,1888448153.6,-0.005849811143517651,1888448153.6,3.6756197611490887e-07,0.008873033259481215,1.0611230413118997,0.0
-700.6250817956852,-1212542.0050610227,-351641.8780650465,237.22,18,1,12000,0,55525,False,50,3,9f8fb_00000,cad6c349704142fb9570a473ab6cd8fe,2025-09-28_12-50-50,1759063850,14.57530927658081,43.119773149490356,739819,terumo,200.128.51.114,43.119773149490356,0,3,-451273.2966948402,-83.15111924290399,-70328.37561300941,"[-924400.8722225815, -694044.5570104874, -738989.2052225817, -928746.6167001916, -627950.0788898772, -642942.2305578938, -565925.3244028105, -690791.7130186396, -572012.8032847731, -596043.8869174507, -393528.083255781, -1212542.0050610227, -426794.47046253755, -877062.7168554263, -730108.7376115724, -515772.19918252603, -263612.4444575418, -439210.4677673286, -261669.13953340307, -217398.24496525916, -423832.0682318818, -333118.41539279674, -532153.1870413481, -335125.33154220873, -178637.189538887, -262910.2731113508, -563070.5176523789, -253024.49398263596, -275401.0291630242, -323737.2438386978, -426421.44539212575, -343006.4726377524, -179705.830744796, -60140.25874830928, -54521.18311663786, -710.1340345224736, -723.1537727991602, -42827.03381772906, -700.6250817956852, -206086.9736276826, -732.2962039489873, -748.5791160505781, -728.7814853219298, -79458.88908434559, -44994.46968236989, -79851.71205387561, -715.9886340060131, -80379.73686406908, -77736.12171129462, -101348.67056800128]","[279, 215, 227, 246, 261, 265, 238, 230, 250, 242, 227, 264, 239, 263, 252, 242, 225, 238, 241, 229, 249, 237, 258, 239, 228, 229, 233, 223, 242, 237, 257, 281, 233, 217, 213, 195, 246, 223, 254, 211, 229, 238, 221, 196, 237, 226, 233, 235, 231, 237]","[-118.04894743671595, -373064.78967066575, -173362.2536065459, -377751.3175638375, -104.46243409721512, -111.44919287427943, -145340.76276780455, -195405.292819715, -250542.1447084424, -102644.90752165273, -102.20446330829077, -137556.3168023319, -261375.6720295914, -339850.51013459126, -104.50179276092238, -83.15111924290399, -225839.38801897696, -294326.73846698465, -237862.6196402813, -170634.7194547075, -95.20940033560535, -341455.1931841471, -131.87981401343288, -286161.6351743762, -106.1613170052378, -97.84229476050324, -357146.9261827322, -116.27115835120605, -285468.15899480187, -113.03192724869189, -107.839473185047, -113575.62791519736, -172399.98837711135, -180469.0740901071, -99372.79454721094, -104.04764258730044, -295635.60712684895, -171847.33153891572, -223103.2112734949, -101.51543679441154, -105.27230610585903, -245030.12036879585, -75908.80829918911, -250857.46491679706, -111.13739388638687, -111.89043962797194, -122484.53407632568, -129568.79949354457, -343768.5084799948, -110.1544279582151, -95.90336329728943, -127691.75900920734, -126.06185319524707, -265506.44872211316, -107.91030796793463, -101.22747809560526, -334787.7489578896, -335178.0334167815, -369292.59333789686, -173182.4018703604, -91.75432230623854, -148037.27695133627, -127.28574831267325, -278434.700288767, -103.45315181637035, -99.83759426118954, -451273.2966948402, -161266.30758894703, -264320.04355881026, -103.23141857015803, -101.16137526737225, -268083.0570365014, -135617.05754617217, -326206.9349012469, -100.52675238641916, -96.57674157562734, -144725.25225968874, -133.7960960719702, -282260.2376313829, -88556.33645380817, -98.13467185068266, -131.35832710481196, -120.41470319690595, -263148.5042042824, -114.03255110685998, -106.98417674787885, -29369.402802869907, -143228.10390549182, -266395.3143697298, -110.66251248935086, -113.08135790957309, -87397.86388510288, -129.6515905065194, -173914.92474693278, -113.6179529510787, -121.50680339338683, -135.102653701129, -130.10878856070372, -216889.28250755917, -122.24421204452055, -114.50003867654311, -235352.71664700692, -120.79880734239117, -188129.8055812302, -114.24715762628364, -121.03038508754985, -147.53207657698732, -98982.93577928544, -233741.42640249644, -125.49074935013054, -126.34134933652315, -249010.30875893717, -79660.94974883573, -203228.96706556025, -126.62011867973266, -125.26544729373367, -133.87420811361577, -115277.998333403, -219458.09207612908, -130.10147726983928, -113.09239939393242, -141.6958984256942, -123.67184471362152, -178126.04817267816, -132.6812236755101, -128.33779311905494, -26317.038799783193, -132.14690886177735, -236200.14742309044, -132.60218649627132, -119.08220535673273, -81175.64239493386, -171090.5385057522, -310554.1009678073, -131.15357852931373, -114.788326129877, -65387.94114564905, -124.84036938690522, -187290.62296504725, -106.30117642285046, -120.29878715086515, -140.3870949981277, -74014.71419990988, -201002.67374736056, -122.95533360509475, -113.33366835255, -74078.39631535036, -127.31055663840856, -249296.43622453726, -121.76707381913732, -105.46186056169644, -133.53464485671432, -150787.30473966667, -275273.6108651919, -121.53328185013693, -124.82313526056913, -205361.2651648717, -123.5830041611876, -137283.1541366374, -113.64719682223802, -125.30165923588169, -114790.11473441748, -118.61559328077139, -64543.856062009334, -127.94269585255769, -131.8781824259197, -148.99712410507865, -138.00702316127564, -59583.35573341564, -138.02068520138246, -122.57700137003953, -167.7848295889643, -134.83451469482875, -53941.91966932915, -154.06710165489565, -121.0329244491368, -160.21257632999234, -133.50303306066922, -161.45620495676042, -133.92929572591004, -128.0448287076839, -158.72789247710998, -146.1425382294129, -158.8397018561321, -131.39881152881793, -131.28618881387067, -140.98157857239107, -132.9800620301894, -42289.42742114691, -132.3585671657396, -114.60838039535943, -154.34819029799937, -144.24384928762407, -164.70498754153684, -122.7196742731611, -126.81067758987805, -169.06651079396838, -136.1093457942002, -205517.83359723908, -137.15349626531642, -134.93138608638563, -154.16164642209313, -136.67145346580926, -161.4728464826064, -145.05887149209045, -124.13035021628227, -153.59203906208663, -145.11147482170983, -170.39864583637814, -155.34660611411897, -131.26778446554928, -162.7521717938717, -132.91152176488404, -160.42368090809458, -141.4263263895242, -131.09313775402495, -164.8399589817622, -137.2178773533883, -78897.01797472684, -128.72013552952578, -118.9135919606831, -160.6600615700463, -153.39222467868782, -44421.83695617056, -139.66684798995425, -131.13414904198697, -154.59130806920018, -135.62788988450237, -79297.34010287256, -133.0186040072169, -123.30256570055559, -157.40803318764432, -150.74426324899872, -155.0703826184428, -129.46338925036721, -137.49711540363762, -152.06608038507613, -126.62564465366509, -79814.90489485658, -148.64312877006276, -129.1139947229695, -161.20999689693122, -154.7594328091971, -77152.51959339542, -138.51869346998075, -128.0733563455272, -180.47138681589627, -139.76079202281372, -100749.19189138192, -151.17314143497998]",0.14937807165250572,0.7163910422572377,0.05388255633413268,1.0827641551944618,0.0,12433.351,321.715,0.947,4225644.194,5971.717,669.824,1.41,12000,55525,12000,55525,3.066666666666667,26.180952380952384,0.0,0.10000000000000003,4.999999999999999e-05,190413228.8,-0.0004413210079292185,190413229.33333334,8.225440979003907e-07,0.0018332536342010523,1.032201635837555,0.0
-700.6250817956852,-1212542.0050610227,-258574.78157412153,229.05797101449275,19,1,16000,0,71829,False,69,4,9f8fb_00000,cad6c349704142fb9570a473ab6cd8fe,2025-09-28_12-51-04,1759063864,14.053669214248657,57.173442363739014,739819,terumo,200.128.51.114,57.173442363739014,0,4,-451273.2966948402,-83.15111924290399,-51714.95631482438,"[-924400.8722225815, -694044.5570104874, -738989.2052225817, -928746.6167001916, -627950.0788898772, -642942.2305578938, -565925.3244028105, -690791.7130186396, -572012.8032847731, -596043.8869174507, -393528.083255781, -1212542.0050610227, -426794.47046253755, -877062.7168554263, -730108.7376115724, -515772.19918252603, -263612.4444575418, -439210.4677673286, -261669.13953340307, -217398.24496525916, -423832.0682318818, -333118.41539279674, -532153.1870413481, -335125.33154220873, -178637.189538887, -262910.2731113508, -563070.5176523789, -253024.49398263596, -275401.0291630242, -323737.2438386978, -426421.44539212575, -343006.4726377524, -179705.830744796, -60140.25874830928, -54521.18311663786, -710.1340345224736, -723.1537727991602, -42827.03381772906, -700.6250817956852, -206086.9736276826, -732.2962039489873, -748.5791160505781, -728.7814853219298, -79458.88908434559, -44994.46968236989, -79851.71205387561, -715.9886340060131, -80379.73686406908, -77736.12171129462, -101348.67056800128, -721.3444199781338, -777.9372865801936, -762.7535003952513, -764.1262550028823, -75390.47084878322, -766.9284033319936, -772.2361626832783, -799.0590578732202, -64450.07595771474, -754.7820569222907, -755.7144641952461, -760.0127808304796, -772.7111953103389, -779.941071933972, -744.4166831494708, -57429.57198629798, -50843.08843290886, -765.84099410914, -755.0138040585402]","[279, 215, 227, 246, 261, 265, 238, 230, 250, 242, 227, 264, 239, 263, 252, 242, 225, 238, 241, 229, 249, 237, 258, 239, 228, 229, 233, 223, 242, 237, 257, 281, 233, 217, 213, 195, 246, 223, 254, 211, 229, 238, 221, 196, 237, 226, 233, 235, 231, 237, 224, 189, 226, 221, 201, 201, 209, 194, 196, 208, 209, 207, 232, 193, 223, 226, 192, 202, 191]","[-118.04894743671595, -373064.78967066575, -173362.2536065459, -377751.3175638375, -104.46243409721512, -111.44919287427943, -145340.76276780455, -195405.292819715, -250542.1447084424, -102644.90752165273, -102.20446330829077, -137556.3168023319, -261375.6720295914, -339850.51013459126, -104.50179276092238, -83.15111924290399, -225839.38801897696, -294326.73846698465, -237862.6196402813, -170634.7194547075, -95.20940033560535, -341455.1931841471, -131.87981401343288, -286161.6351743762, -106.1613170052378, -97.84229476050324, -357146.9261827322, -116.27115835120605, -285468.15899480187, -113.03192724869189, -107.839473185047, -113575.62791519736, -172399.98837711135, -180469.0740901071, -99372.79454721094, -104.04764258730044, -295635.60712684895, -171847.33153891572, -223103.2112734949, -101.51543679441154, -105.27230610585903, -245030.12036879585, -75908.80829918911, -250857.46491679706, -111.13739388638687, -111.89043962797194, -122484.53407632568, -129568.79949354457, -343768.5084799948, -110.1544279582151, -95.90336329728943, -127691.75900920734, -126.06185319524707, -265506.44872211316, -107.91030796793463, -101.22747809560526, -334787.7489578896, -335178.0334167815, -369292.59333789686, -173182.4018703604, -91.75432230623854, -148037.27695133627, -127.28574831267325, -278434.700288767, -103.45315181637035, -99.83759426118954, -451273.2966948402, -161266.30758894703, -264320.04355881026, -103.23141857015803, -101.16137526737225, -268083.0570365014, -135617.05754617217, -326206.9349012469, -100.52675238641916, -96.57674157562734, -144725.25225968874, -133.7960960719702, -282260.2376313829, -88556.33645380817, -98.13467185068266, -131.35832710481196, -120.41470319690595, -263148.5042042824, -114.03255110685998, -106.98417674787885, -29369.402802869907, -143228.10390549182, -266395.3143697298, -110.66251248935086, -113.08135790957309, -87397.86388510288, -129.6515905065194, -173914.92474693278, -113.6179529510787, -121.50680339338683, -135.102653701129, -130.10878856070372, -216889.28250755917, -122.24421204452055, -114.50003867654311, -235352.71664700692, -120.79880734239117, -188129.8055812302, -114.24715762628364, -121.03038508754985, -147.53207657698732, -98982.93577928544, -233741.42640249644, -125.49074935013054, -126.34134933652315, -249010.30875893717, -79660.94974883573, -203228.96706556025, -126.62011867973266, -125.26544729373367, -133.87420811361577, -115277.998333403, -219458.09207612908, -130.10147726983928, -113.09239939393242, -141.6958984256942, -123.67184471362152, -178126.04817267816, -132.6812236755101, -128.33779311905494, -26317.038799783193, -132.14690886177735, -236200.14742309044, -132.60218649627132, -119.08220535673273, -81175.64239493386, -171090.5385057522, -310554.1009678073, -131.15357852931373, -114.788326129877, -65387.94114564905, -124.84036938690522, -187290.62296504725, -106.30117642285046, -120.29878715086515, -140.3870949981277, -74014.71419990988, -201002.67374736056, -122.95533360509475, -113.33366835255, -74078.39631535036, -127.31055663840856, -249296.43622453726, -121.76707381913732, -105.46186056169644, -133.53464485671432, -150787.30473966667, -275273.6108651919, -121.53328185013693, -124.82313526056913, -205361.2651648717, -123.5830041611876, -137283.1541366374, -113.64719682223802, -125.30165923588169, -114790.11473441748, -118.61559328077139, -64543.856062009334, -127.94269585255769, -131.8781824259197, -148.99712410507865, -138.00702316127564, -59583.35573341564, -138.02068520138246, -122.57700137003953, -167.7848295889643, -134.83451469482875, -53941.91966932915, -154.06710165489565, -121.0329244491368, -160.21257632999234, -133.50303306066922, -161.45620495676042, -133.92929572591004, -128.0448287076839, -158.72789247710998, -146.1425382294129, -158.8397018561321, -131.39881152881793, -131.28618881387067, -140.98157857239107, -132.9800620301894, -42289.42742114691, -132.3585671657396, -114.60838039535943, -154.34819029799937, -144.24384928762407, -164.70498754153684, -122.7196742731611, -126.81067758987805, -169.06651079396838, -136.1093457942002, -205517.83359723908, -137.15349626531642, -134.93138608638563, -154.16164642209313, -136.67145346580926, -161.4728464826064, -145.05887149209045, -124.13035021628227, -153.59203906208663, -145.11147482170983, -170.39864583637814, -155.34660611411897, -131.26778446554928, -162.7521717938717, -132.91152176488404, -160.42368090809458, -141.4263263895242, -131.09313775402495, -164.8399589817622, -137.2178773533883, -78897.01797472684, -128.72013552952578, -118.9135919606831, -160.6600615700463, -153.39222467868782, -44421.83695617056, -139.66684798995425, -131.13414904198697, -154.59130806920018, -135.62788988450237, -79297.34010287256, -133.0186040072169, -123.30256570055559, -157.40803318764432, -150.74426324899872, -155.0703826184428, -129.46338925036721, -137.49711540363762, -152.06608038507613, -126.62564465366509, -79814.90489485658, -148.64312877006276, -129.1139947229695, -161.20999689693122, -154.7594328091971, -77152.51959339542, -138.51869346998075, -128.0733563455272, -180.47138681589627, -139.76079202281372, -100749.19189138192, -151.17314143497998, -130.30770745131343, -148.52837618462075, -131.59174931867196, -156.5130948715562, -154.40349215196792, -134.05790996217164, -176.1199799902818, -141.22739266131808, -175.82542104264354, -150.70658292377655, -136.231805831061, -169.04570250462726, -143.52623237268563, -171.35639382937617, -142.59336585749648, -127.77180401423423, -168.32214201300002, -152.28195267480618, -162.88902263221695, -152.8613336686224, -137.48172638112257, -180.7840024928081, -145.23114546494426, -74776.56363411735, -150.41034032700298, -133.5342778258414, -161.52427426351355, -154.49715938464334, -176.14493869811403, -141.22775315987803, -138.42086015859942, -166.99010848009974, -142.10566086306105, -172.95599885518197, -151.76353432633266, -133.10983179547193, -176.82185069094257, -161.42433067698352, -163.41398735736325, -164.2890573524564, -123.77179822564744, -157.46622679931772, -146.04356155638695, -63873.21372475173, -149.58064638167153, -132.08261340180553, -176.3037223168343, -138.08067917661722, -154.62514072922488, -153.68990129780565, -136.1311295891859, -161.7692020985058, -138.6151480261949, -170.11640464129877, -149.0825798400565, -119.26527510250618, -172.80672967896047, -160.45127469354776, -168.20336825312614, -139.28613310233402, -132.656105608288, -167.23696586829644, -154.62699883149335, -164.9682706225781, -153.22285437967926, -127.9877176229519, -176.3726410762038, -153.8959904754262, -167.9352825225012, -153.74944023688462, -127.23347001997487, -161.92542613648678, -149.10934771947203, -159.38626370856906, -146.76217556496348, -130.4924316283091, -161.93273732911106, -145.5109845431679, -56839.078008465935, -152.5578243314844, -138.05012486709973, -176.44391710832227, -142.73717590367832, -50235.962251459954, -149.89496356981803, -135.7578561853689, -157.00762922565164, -159.50414873513222, -168.86623070446282, -144.7051292585195, -130.5847387034097, -157.1704245303323, -151.64822462180442, -174.1014600088255, -141.50895619416613]",0.1483416256063234,0.7143438415861321,0.053549514222422184,1.1024857188900252,0.0,13053.229,306.438,0.754,5302952.509,5747.58,695.945,1.429,16000,71829,16000,71829,3.14,26.100000000000005,0.0,0.05000000000000002,4.999999999999999e-05,52515415.06666667,-0.0021931162332521127,52515415.333333336,1.6411145528157553e-06,0.00415353813538483,0.9829708675543467,0.0
