algo,variant,group,seed,auc
COMA,DefaultReward,COMA-DefaultReward,"COMA-DefaultReward (0.5,0.7,0.5,0.6) - 24",0.5859339933973152
COMA,DefaultReward,COMA-DefaultReward,"COMA-DefaultReward (0.5,0.7,0.5,0.6) - 25",0.581610257625592
COMA,DefaultReward,COMA-DefaultReward,"COMA-DefaultReward (0.5,0.7,0.5,0.6) - 3",0.5938380073832631
COMA,DefaultReward,COMA-DefaultReward,"COMA-DefaultReward (0.5,0.7,0.5,0.6) - 4",0.586187874505382
COMA,DefaultReward,COMA-DefaultReward,"COMA-DefaultReward (0.5,0.7,0.5,0.6) - 5",0.5816607159307929
COMA,DefaultReward,COMA-DefaultReward,"COMA-DefaultReward (0.5,0.7,0.5,0.6) - 6",0.5784021420048824
COMA,DefaultReward,COMA-DefaultReward,"COMA-DefaultReward (0.5,0.7,0.5,0.6) - 7",0.5785806011446454
COMA,DefaultReward,COMA-DefaultReward,"COMA-DefaultReward (0.5,0.7,0.5,0.6) - 8",0.584902555829547
COMA,DefaultReward,COMA-DefaultReward,"COMA-DefaultReward (0.5,0.7,0.5,0.6) - 9",0.5732356254154329
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 1",0.6176472091134776
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 10",0.6103029925286068
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 11",0.6089311545015029
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 12",0.6110818414900181
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 13",0.5968773145820563
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 14",0.614536533679716
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 15",0.6134893468999296
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 16",0.6058696311358914
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 17",0.6106054335390056
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 18",0.6102080302560752
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 19",0.6071012971516301
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 2",0.6091682727063265
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 20",0.6055431031121917
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 21",0.6129824828221757
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 22",0.6162937960986382
