algo,variant,group,seed,mean_reward
COMA,DefaultReward,COMA-DefaultReward,"COMA-DefaultReward (0.5,0.7,0.5,0.6) - 6",1041.6534174818403
COMA,DefaultReward,COMA-DefaultReward,"COMA-DefaultReward (0.5,0.7,0.5,0.6) - 7",1041.43334823338
COMA,DefaultReward,COMA-DefaultReward,"COMA-DefaultReward (0.5,0.7,0.5,0.6) - 8",1050.0746380341266
COMA,DefaultReward,COMA-DefaultReward,"COMA-DefaultReward (0.5,0.7,0.5,0.6) - 9",1035.5505238394883
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 1",-215.12157381249497
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 10",-219.19762147312503
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 11",-219.90263606596713
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 12",-218.1701398612223
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 13",-226.64873464985357
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 14",-216.84252894595173
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 15",-217.39957374921715
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 16",-221.61994139188434
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 17",-218.98049184952674
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 18",-219.20402824454794
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 19",-220.8795865595732
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 2",-219.76075962534654
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 20",-221.2059124248922
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 21",-217.6803067004579
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 22",-215.86910304706538
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 23",-220.99363994175417
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 24",-220.15411033679644
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 25",-217.99785936689395
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 3",-219.09225530557924
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 4",-220.56621002489138
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 5",-213.25921022786372
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 6",-221.33901030253088
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 7",-220.00268261174548
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 8",-217.99530100539644
COMA,RewardHard,COMA-RewardHard,"COMA-RewardHardMax (0.5,0.7,0.5,0.6) - 9",-220.69216266854488
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 1",6.740461653052394
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 10",6.737938550800535
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 11",6.721253653198224
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 12",6.73979587772625
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 13",6.736389060836315
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 14",6.7310055300383755
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 15",6.730230284622463
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 16",6.727742891610117
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 17",6.734958256385464
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 18",6.738455655022536
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 19",6.748113038469613
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 2",6.735807847116363
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 20",6.729270503800086
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 21",6.728623330313799
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 22",6.745288064546044
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 23",6.748574139230423
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 24",6.7122880616146015
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 25",6.738176847498303
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 3",6.738615470228736
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 4",6.739479094483321
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 5",6.724346620008549
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 6",6.741172531977009
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 7",6.731910536229641
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 8",6.713859497980537
COMA,RewardLowerQuantile,COMA-RewardLowerQuantile,"COMA-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 9",6.718712567077148
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 1",1520.8756063284757
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 10",1540.7198524202101
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 11",1537.1695218852255
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 12",1536.8571011846352
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 13",1516.5401413856182
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 14",1529.2686993836126
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 15",1526.1244688965849
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 16",1530.8556933627997
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 17",1532.3117369465044
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 18",1526.6195526198792
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 19",1521.43407147923
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 2",1536.7841182672619
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 20",1529.1517862430849
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 21",1536.9125109712206
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 22",1527.910660131891
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 23",1522.875416749797
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 24",1529.439020799753
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 25",1532.2982998988193
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 3",1521.7508082764157
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 4",1532.1106214850383
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 5",1534.4283197518437
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 6",1530.3434818622688
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 7",1529.6743404933966
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 8",1535.2053983357625
COMA,RewardMaxMedian,COMA-RewardMaxMedian,"COMA-RewardMaxMedian (0.5,0.7,0.5,0.6) - 9",1527.6908674571118
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 1",358.31294316873885
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 10",358.24838475006317
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 11",358.3766835682621
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 12",358.29670286889484
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 13",358.23604124848225
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 14",358.3766835682621
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 15",358.3279739393651
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 16",358.3326899805246
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 17",358.31294316873885
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 18",358.3326899805246
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 19",358.23604124848225
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 2",358.3279739393651
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 20",358.29824253935186
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 21",358.31294316873885
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 22",358.24838475006317
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 23",358.29824253935186
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 24",358.23604124848225
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 25",358.23604124848225
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 3",358.24838475006317
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 4",358.3766835682621
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 5",358.29824253935186
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 6",358.24838475006317
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 7",358.29824253935186
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 8",358.3766835682621
HAPPO,DefaultReward,HAPPO-DefaultReward,"HAPPO-DefaultReward (0.5,0.7,0.5,0.6) - 9",358.25447794434945
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 1",-529.6927656743411
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 10",-529.6211258680958
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 11",-529.6379546373458
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 12",-529.5314984106733
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 13",-529.6728118033938
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 14",-529.5799511178155
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 15",-529.582432010208
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 16",-529.6178350419385
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 17",-529.582432010208
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 18",-529.5314984106733
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 19",-529.6178350419385
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 2",-529.6211258680958
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 20",-529.5314984106733
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 21",-529.5706184291882
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 22",-529.6211258680958
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 23",-529.5799511178155
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 24",-529.5314984106733
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 25",-529.6178350419385
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 3",-529.6178350419385
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 4",-529.6625614385802
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 5",-529.6571193348892
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 6",-529.6927656743411
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 7",-529.6625614385802
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 8",-529.6571193348892
HAPPO,RewardHard,HAPPO-RewardHard,"HAPPO-RewardHardMax (0.5,0.7,0.5,0.6) - 9",-529.6728118033938
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 1",5.973797385049901
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 10",5.9244115090036
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 11",5.9196395363412
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 12",5.862008958553467
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 13",5.9196395363412
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 14",5.9196395363412
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 15",5.936847656853691
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 16",5.906256218777228
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 17",5.824717362075389
HAPPO,RewardLowerQuantile,HAPPO-RewardLowerQuantile,"HAPPO-RewardLowerQuantile (0.5,0.7,0.5,0.6) - 18",5.824717362075389
