trip_label,pt_sequence,stop_id,method,n_points,mse,rmse,mae,mape_pct,wape_pct
20001_0310_1,1,44782849,timesfm,329,0.0,0.0,0.0,,
20001_0310_1,2,47567835,timesfm,329,46.88719221939192,6.847422304735697,4.703584803201507,41.96650018961193,24.153703876554978
20001_0310_1,3,44783952,timesfm,326,56.93491727552558,7.54552299549379,4.673400961109465,31.983990003270733,24.13582365856792
20001_0310_1,4,44784227,timesfm,325,59.24195665977958,7.696879670345612,4.934796775622246,30.493010387319604,23.395617659404923
20001_0310_1,5,44783495,timesfm,325,64.33282872346912,8.020774820643522,5.021197203709529,28.225790239492515,23.208881690958766
20001_0310_1,6,88229436,timesfm,326,73.66372883976372,8.582757647735589,5.364864752513256,25.24888647299826,23.306217443831432
20001_0310_1,7,44783484,timesfm,325,82.91588328660853,9.10581590449799,5.822293573428423,25.137227194625293,23.53352378034872
20001_0310_1,8,69442472,timesfm,326,85.01602966581551,9.220413746997231,5.936256583044134,24.926489447940344,23.146138699164208
20001_0310_1,9,44784228,timesfm,326,80.45249794477725,8.969531645787157,5.793364118603353,23.22131568132276,21.990153159564034
20001_0310_1,10,45833917,timesfm,326,78.4707049584638,8.858369204230755,5.763337160138891,22.680479352183827,21.523127546928155
20001_0310_1,11,44783486,timesfm,326,81.04191478787938,9.002328298161503,5.866875281906461,22.77110611572336,21.809700134777263
20001_0310_1,12,44783013,timesfm,326,80.86624756304734,8.992566239013607,5.914158568520174,23.00533852939403,21.952044777517767
20001_0310_1,13,45833919,timesfm,326,83.9456034271095,9.162183332978527,5.997516634281079,22.27482310621174,21.283483566974528
20001_0310_1,14,44164980,timesfm,327,83.20698903937404,9.121786504812203,6.113552919440313,22.76240611952223,19.866433948330116
20001_0310_1,15,44782829,timesfm,327,76.6922897765391,8.757413418158304,5.870592907736426,26.91048925709042,20.857540535378956
20001_0310_1,16,44783639,timesfm,327,69.79805748356385,8.354523175116809,5.510534154818502,28.164553093251264,22.000250627822197
20001_0310_1,17,43787620,timesfm,327,54.60420259686261,7.389465650293166,5.287076611322347,25.10491821320393,22.49718983055808
20001_0310_2,1,43787620,timesfm,528,0.0,0.0,0.0,,
20001_0310_2,2,44164986,timesfm,526,2.9956077596526236,1.7307824125673983,1.0377945599028993,63.852380027569545,71.26613854679539
20001_0310_2,3,120548519,timesfm,523,11.710700017890511,3.4220900072748686,2.2779648592544146,90.70709147464122,58.745782552139794
20001_0310_2,4,44782596,timesfm,521,36.507923654090476,6.042178717490113,4.274500339593362,47.459102701994865,33.41375052514177
20001_0310_2,5,45833890,timesfm,521,46.290834272667425,6.803736787432875,4.710456378790505,41.66228965327317,30.445446941996423
20001_0310_2,6,45833892,timesfm,520,49.00079319963898,7.000056656887784,4.774895669807008,39.572041953634354,29.446118948387518
20001_0310_2,7,129107065,timesfm,521,55.756518978989625,7.467028791895048,5.073642446115649,36.41788904311999,27.754950293615778
20001_0310_2,8,45833893,timesfm,520,66.00316027127609,8.124232903559331,5.409477701079424,32.93085638146365,26.84804423877593
20001_0310_2,9,215205217,timesfm,517,71.03470791757545,8.428209057538584,5.636660391388942,30.396708680851138,25.202024015987778
20001_0310_2,10,45833280,timesfm,518,73.29297048334712,8.561131378699145,5.722577403552715,30.467012718099447,25.362064050297956
20001_0310_2,11,44783382,timesfm,518,73.36824279713476,8.565526416813782,5.840229479672753,30.663120830919617,25.232929602274822
20001_0310_2,12,44782441,timesfm,517,72.37033602490806,8.50707564471529,5.786462321835847,30.329125575130085,24.72131681756097
20001_0310_2,13,69442471,timesfm,515,78.34068457754427,8.851027317636314,6.120378514104823,29.545383589512753,25.114036945026598
20001_0310_2,14,45833896,timesfm,515,78.70854094175546,8.871783413821342,6.084403392280594,29.62223576397515,24.90358710678178
20001_0310_2,15,45833480,timesfm,515,76.6795197821839,8.756684291567437,6.061233716537927,30.25717071020638,24.518558555959824
20001_0310_2,16,88229435,timesfm,516,76.62126838695686,8.753357549361095,6.0663000321907505,30.146028353399405,24.389771251472528
20001_0310_2,17,59156287,timesfm,518,89.60400322106712,9.465939109304852,6.660383778599727,31.53069544871109,25.15582735920829
20001_0310_2,18,44784093,timesfm,518,88.8269565234219,9.424805383848618,6.668258048752078,31.33345076780082,24.97630376390174
20001_0310_2,19,45834150,timesfm,516,88.00330219736632,9.381007525706732,6.6603771523266415,30.789583736432814,24.808215342611526
20001_0310_2,20,45834147,timesfm,517,104.44814570496776,10.219987558943883,7.2620194660618465,30.508338103084746,25.14359198206503
20001_0310_2,21,45834145,timesfm,516,106.77591208888046,10.333243057669769,7.33989417738062,30.54732897651851,25.222393986371344
20001_0310_2,22,45834142,timesfm,519,122.56955626070494,11.07111359623344,7.778081494860538,31.28693019871988,25.629999390910307
20001_0310_2,23,44784226,timesfm,517,102.79186015066153,10.138632065059937,7.255185420267714,30.356564997451592,24.46776328285467
20001_0310_2,24,45833472,timesfm,516,98.0913277415527,9.904106609965016,7.153934525469507,29.63479017854055,24.184998111724557
20001_0310_2,25,47565733,timesfm,516,103.20778804392096,10.159123389541096,7.304096817409947,29.449282133195737,24.269222878426667
20001_0310_2,26,44784088,timesfm,517,98.38914110798436,9.919130058023454,7.083318459741323,28.78896397715379,23.91984588257283
20001_0310_2,27,44784097,timesfm,517,100.96045066956033,10.04790777572925,7.2570361159847785,29.21340639659993,24.003368481625877
20001_0310_2,28,45833802,timesfm,516,97.81973239188943,9.890385856572504,7.235226040492568,28.93254097055179,23.957095267550788
20001_0310_2,29,45833324,timesfm,515,111.69821125472059,10.568737448471344,7.7211975113499385,30.026147180651225,24.557823372746466
20001_0310_2,30,44784089,timesfm,511,110.6501020482193,10.519035224212308,7.596106963936311,29.782636573998555,24.039180099252576
20001_0310_2,31,45833505,timesfm,510,112.20623771969008,10.5927445791773,7.852687218336906,29.38856137645951,23.84569194197082
20001_0310_2,32,44165028,timesfm,514,109.82680313392898,10.479828392389305,7.832578665059681,29.667992726681963,24.292370163273876
20001_0310_2,33,44783562,timesfm,515,115.00935485241781,10.724241458136692,7.960474143167144,30.220481971440087,24.629401094774774
20001_0310_2,34,44783564,timesfm,515,117.24750895618256,10.828088887526855,7.898052213724377,31.331193206150836,25.256664286830134
20001_0310_2,35,48480954,timesfm,514,107.09231867216967,10.348541862125778,7.651479415500093,30.452435776107368,24.35298133286354
20001_0310_2,36,128264371,timesfm,517,112.71312698484503,10.616643866347077,7.711252667120224,30.70296925061186,23.96059348651909
20001_0310_2,37,44783263,timesfm,520,116.35978345655104,10.787019210910447,7.75584931170693,31.539122434261234,24.18141606132283
20001_0310_2,38,44784244,timesfm,520,117.39666538218775,10.834974175427819,7.937530907231663,31.761507313069703,25.318300592633324
20001_0310_2,39,46021755,timesfm,520,118.82389031563189,10.9006371518197,7.977908015677634,32.540795371012024,25.245058934229014
20001_0310_2,40,43768282,timesfm,519,123.17155455702199,11.09826808817583,8.029142217761782,32.80230981888475,25.088300341261245
20001_0310_2,41,43768244,timesfm,522,187.45631284585838,13.691468615377183,9.825209799947032,51.14730511041598,33.09774539719065
20001_0310_2,42,47567660,timesfm,525,182.31415271528834,13.50237581743629,9.81068107184297,52.83558740292984,33.93597464807907
20001_0310_2,43,45834545,timesfm,524,179.39056584577116,13.393676337950353,9.752022345849243,52.092821260762264,33.3100209003088
20001_0310_2,44,45833010,timesfm,523,181.26444046847803,13.463448312690105,9.746070883269665,52.128788148481654,33.185103464549364
20001_0310_2,45,45833196,timesfm,521,181.22725765468948,13.46206736183895,9.780668507751685,55.271260043881256,33.06045139171958
20001_0310_2,46,44784021,timesfm,522,169.1539752534339,13.005920776839828,9.406147059756009,56.199793276879106,32.962258563037636
20001_0310_2,47,175084352,timesfm,521,168.94594843139458,12.997920927263506,9.398414287473289,57.40111205960064,33.20014932912322
20001_0310_2,48,44782766,timesfm,521,165.9685584745039,12.8828785011155,9.373375400764555,56.69493010375164,32.65998858552655
20001_0310_2,49,45833206,timesfm,520,164.40484831966674,12.822045403119844,9.318079713306437,56.18389984259932,32.47418507548335
20001_0310_2,50,44782771,timesfm,520,162.72804793409384,12.756490423862429,9.307871118417154,56.7917836897344,32.20854755052961
20001_0310_2,51,47567876,timesfm,520,164.86445176457605,12.839955286704702,9.354686008780575,60.697476588981935,33.183110737052374
20001_0310_2,52,44782763,timesfm,520,164.94098856738077,12.84293535634984,9.415396382537953,58.255086948207556,32.747896665514006
20001_0310_2,53,45833902,timesfm,520,164.78056848008575,12.836688376683675,9.34047600517343,56.40807990158193,32.068196108664345
20001_0310_2,54,45834138,timesfm,519,150.8969272578875,12.284011041100847,9.081944013519106,55.26081560103289,31.354975083072254
20001_0310_2,55,44783733,timesfm,518,149.50194861558467,12.227098945194836,9.080552189735359,68.34836224456275,33.556259721265725
20001_0310_2,56,45833776,timesfm,516,168.71868673595245,12.98917575275477,9.70164956360499,51.68973695092468,31.78821234243761
20001_0310_2,57,46021712,timesfm,516,170.9338453807067,13.074167100840754,9.717008600755896,56.38631453407389,32.289951267330196
20001_0310_2,58,44783729,timesfm,512,169.61714175736086,13.023714591366046,9.701164583792348,55.5138135276502,31.746799417103876
20001_0310_2,59,45833779,timesfm,512,191.60675320570456,13.842209115806066,10.194800399206875,61.65600927370105,33.88920169909706
20001_0310_2,60,45833067,timesfm,512,189.96208856166876,13.782673491078164,10.034756396536434,61.62782366607139,34.30461756109358
20001_0310_2,61,45833997,timesfm,510,195.58512833308,13.985175305768605,10.07134303783799,65.52909682848662,35.05771128349314
20001_0310_2,62,45833069,timesfm,511,177.71481961239493,13.3309721930696,9.525909700227933,76.02852995693951,34.978204464631055
20001_0310_2,63,45833070,timesfm,511,179.4249904328478,13.39496138228281,9.552178395748715,77.29340837823113,36.08166491849106
20001_0310_2,64,44734507,timesfm,511,182.0891869260496,13.494042645777046,9.626436816756204,84.55538520925113,37.07778176513855
20001_0310_2,65,44734505,timesfm,510,176.43059161139806,13.282717779558446,9.380745826623095,89.53402116600064,36.846601221537526
20001_0310_2,66,98439035,timesfm,508,176.81297674576518,13.297104073660746,9.329684472627871,94.27309918535497,37.01285447652913
20001_0310_2,67,45833073,timesfm,508,175.28124245006168,13.239382253340285,9.279295797348619,94.16115275107734,36.905277766585854
20001_0310_2,68,44734500,timesfm,506,182.25755540203974,13.500279826805063,9.490942611336918,95.24935277615198,37.86384606123393
20001_0310_2,69,45833075,timesfm,504,180.59504530692877,13.438565597076526,9.43077091112504,105.52575298867022,38.93353364059834
20001_0310_2,70,45833076,timesfm,503,178.88879675145577,13.374931654085406,9.422065377041028,118.76834616545888,38.93696244415541
20001_0310_2,71,46021833,timesfm,501,179.74749725920938,13.406994340985207,9.341922093395214,119.34129281203538,39.06568393993791
20001_0310_2,72,45833325,timesfm,497,174.84103769520553,13.222746979928397,9.241807199860965,120.38980859273316,39.39688057730882
20001_0310_2,73,45833102,timesfm,498,177.97847974926222,13.340857534254019,9.31861680417211,122.56664099241567,40.214714863968744
20001_0310_2,74,44733701,timesfm,495,173.5513790789564,13.1738900511184,9.181179729587026,129.61962864232177,39.84637514089675
20001_0310_2,75,45834425,timesfm,498,177.75629779077653,13.332527809488212,9.30178663939096,207.9037718585341,41.92946821828523
20001_0310_2,76,45834426,timesfm,498,178.36357297770178,13.355282586965421,9.325884980240192,190.32487611320428,42.49383321556155
20002_1320_1,1,45833306,timesfm,579,0.0,0.0,0.0,,
20002_1320_1,2,45833307,timesfm,579,6.107140567012081,2.4712629497914786,1.4737991560744714,47.16317502892488,24.077180038016497
